id_mhs,nim,nama_mhs,jenis_kelamin,tgl_lahir,kode_provinsi_asal,nama_sma_asal,akreditasi_sma_asal,id_prodi,tahun_masuk,status_mhs
227,A23090227,Rachel Saragih,P,2008-02-11,81,SMA Negeri 9 Maluku,A,9,2023,Aktif
228,A22090228,"Sutan Daniswara Handayani, S.Sos",P,1999-12-09,34,SMA Negeri 31 DI Yogyakarta,B,9,2022,Aktif
229,A20090229,"Dt. Galak Nuraini, S.Psi",L,2001-06-10,71,SMA Negeri 22 Sulawesi Utara,A,9,2020,DO
230,A23090230,"R.A. Malika Prasasta, S.Gz",P,2006-03-20,64,SMA Negeri 31 Kalimantan Timur,B,9,2023,Aktif
231,A20040231,Jayeng Hastuti,L,2008-05-26,36,SMA Negeri 20 Banten,B,4,2020,DO
232,A23050232,"R. Azalea Gunarto, S.Pd",L,2004-07-14,34,SMA Negeri 31 DI Yogyakarta,TT,5,2023,Aktif
233,A20060233,Kariman Nababan,P,2007-09-03,52,SMA Negeri 25 Nusa Tenggara Barat,A,6,2020,Lulus
234,A19070234,"drg. Karen Pratiwi, M.Pd",L,2007-10-28,64,SMA Negeri 46 Kalimantan Timur,B,7,2019,Aktif
235,A21020235,"Umi Winarsih, S.Psi",P,2004-07-13,64,SMA Negeri 13 Kalimantan Timur,B,2,2021,Aktif
236,A22090236,Baktianto Pratiwi,L,1998-02-13,52,SMA Negeri 7 Nusa Tenggara Barat,B,9,2022,Aktif
237,A19100237,Ajimat Jailani,P,2002-07-28,36,SMA Negeri 15 Banten,A,10,2019,DO
238,A18110238,"Tasdik Farida, S.E.I",L,1997-12-02,35,SMA Negeri 31 Jawa Timur,A,11,2018,Aktif
239,A18020239,Raharja Budiman,L,2004-09-17,19,SMA Negeri 31 Kepulauan Bangka Belitung,A,2,2018,Lulus
240,A20080240,KH. Balijan Yolanda,L,1998-08-21,33,SMA Negeri 50 Jawa Tengah,B,8,2020,Lulus
241,A22020241,Raden Hakim,L,2003-02-13,35,SMA Negeri 27 Jawa Timur,A,2,2022,Aktif
242,A21030242,Cahyanto Permata,L,1997-09-30,13,SMA Negeri 19 Sumatera Barat,TT,3,2021,DO
243,A20010243,T. Jumadi Sinaga,L,2003-06-14,11,SMA Negeri 42 Aceh,A,1,2020,Aktif
244,A21090244,"Puti Putri Yuliarti, S.H.",P,2002-03-22,94,SMA Negeri 13 Papua,A,9,2021,Aktif
245,A19020245,"Mursita Winarno, S.E.",P,2004-09-17,63,SMA Negeri 12 Kalimantan Selatan,TT,2,2019,Aktif
246,A20010246,Dr. Sadina Saputra,L,2006-12-10,63,SMA Negeri 41 Kalimantan Selatan,B,1,2020,Lulus
247,A22070247,Baktiono Riyanti,L,2002-07-27,74,SMA Negeri 26 Sulawesi Tenggara,B,7,2022,Aktif
248,A19110248,Eja Safitri,L,2003-11-22,17,SMA Negeri 16 Bengkulu,A,11,2019,Aktif
249,A21010249,"Latif Utami, S.Psi",L,2008-04-10,51,SMA Negeri 22 Bali,B,1,2021,Lulus
250,A20050250,Respati Novitasari,P,2004-04-20,11,SMA Negeri 43 Aceh,B,5,2020,Aktif
251,A20020251,Opung Usada,L,2002-01-12,76,SMA Negeri 46 Sulawesi Barat,A,2,2020,Lulus
252,A23050252,dr. Daliman Utama,L,1998-06-05,18,SMA Negeri 40 Lampung,B,5,2023,Aktif
253,A19040253,Cahyadi Oktaviani,L,2002-08-23,35,SMA Negeri 39 Jawa Timur,TT,4,2019,Aktif
254,A23060254,"R. Ikin Marpaung, S.Pd",P,2007-06-14,73,SMA Negeri 43 Sulawesi Selatan,TT,6,2023,Aktif
255,A23040255,R. Lalita Nurdiyanti,P,2000-03-31,36,SMA Negeri 29 Banten,A,4,2023,Aktif
256,A18090256,Bagas Puspita,L,2005-10-22,65,SMA Negeri 33 Kalimantan Utara,A,9,2018,Lulus
257,A19040257,"Dr. Lurhur Novitasari, S.Pt",P,2002-09-15,21,SMA Negeri 44 Kepulauan Riau,B,4,2019,Aktif
258,A18040258,Cut Ulya Jailani,L,1998-05-15,82,SMA Negeri 33 Maluku Utara,TT,4,2018,Aktif
259,A22070259,Ir. Juli Wacana,P,2005-01-06,76,SMA Negeri 30 Sulawesi Barat,A,7,2022,Aktif
260,A23110260,Bakiadi Rahmawati,L,2005-02-07,61,SMA Negeri 17 Kalimantan Barat,A,11,2023,Aktif
261,A22010261,"Ciaobella Widodo, S.Pd",L,2000-10-05,34,SMA Negeri 28 DI Yogyakarta,A,1,2022,Aktif
262,A22060262,"Syahrini Simbolon, S.Ked",L,2001-01-18,15,SMA Negeri 31 Jambi,A,6,2022,Aktif
263,A21010263,Malik Nugroho,L,2004-05-02,53,SMA Negeri 47 Nusa Tenggara Timur,A,1,2021,Lulus
264,A20110264,Wani Najmudin,L,2007-02-14,73,SMA Negeri 25 Sulawesi Selatan,C,11,2020,Lulus
265,A23070265,Uchita Prakasa,P,2007-05-06,16,SMA Negeri 23 Sumatera Selatan,A,7,2023,Aktif
266,A22020266,"drg. Soleh Wastuti, S.H.",P,2001-06-24,32,SMA Negeri 9 Jawa Barat,C,2,2022,Aktif
267,A18120267,Michelle Pratama,L,1999-03-11,35,SMA Negeri 47 Jawa Timur,A,12,2018,Aktif
268,A22090268,"Drs. Gilda Lailasari, S.Pd",L,1998-08-26,74,SMA Negeri 16 Sulawesi Tenggara,C,9,2022,Aktif
269,A19080269,"Daru Sihombing, M.Farm",L,2007-04-23,64,SMA Negeri 47 Kalimantan Timur,B,8,2019,DO
270,A23020270,Kuncara Wibowo,P,2005-04-05,13,SMA Negeri 50 Sumatera Barat,C,2,2023,Aktif
271,A19010271,"R.M. Jumadi Kusumo, S.Farm",L,2005-12-16,36,SMA Negeri 29 Banten,A,1,2019,Lulus
272,A19100272,"R.A. Jelita Marpaung, S.H.",L,2007-01-03,14,SMA Negeri 35 Riau,A,10,2019,Aktif
273,A19040273,"Raihan Prabowo, S.I.Kom",L,2000-05-30,14,SMA Negeri 47 Riau,B,4,2019,Lulus
274,A22100274,Kariman Pertiwi,L,1999-01-19,62,SMA Negeri 20 Kalimantan Tengah,B,10,2022,Aktif
275,A19030275,Zelaya Saputra,L,1999-03-26,94,SMA Negeri 36 Papua,C,3,2019,Aktif
276,A23100276,Zulfa Prastuti,P,1997-10-14,32,SMA Negeri 32 Jawa Barat,C,10,2023,Aktif
277,A23010277,Lala Handayani,P,1999-10-02,64,SMA Negeri 21 Kalimantan Timur,C,1,2023,Aktif
278,A21120278,"R.A. Aisyah Siregar, S.Pd",L,2007-09-22,73,SMA Negeri 49 Sulawesi Selatan,A,12,2021,Aktif
279,A19090279,Praba Marbun,L,2001-09-25,81,SMA Negeri 10 Maluku,B,9,2019,Lulus
280,A22080280,Talia Rahayu,L,2000-11-21,14,SMA Negeri 36 Riau,C,8,2022,Aktif
281,A21090281,"R. Kezia Dongoran, S.E.I",L,2006-12-06,19,SMA Negeri 42 Kepulauan Bangka Belitung,B,9,2021,Aktif
282,A20020282,"Dr. Puput Pudjiastuti, M.Ak",P,2004-07-18,75,SMA Negeri 13 Gorontalo,A,2,2020,Lulus
283,A21010283,Tgk. Ayu Kusumo,L,1999-10-18,52,SMA Negeri 49 Nusa Tenggara Barat,A,1,2021,Aktif
284,A21100284,Atma Haryanto,L,2005-03-29,34,SMA Negeri 1 DI Yogyakarta,B,10,2021,Aktif
285,A23040285,Padma Mangunsong,P,2000-11-23,33,SMA Negeri 49 Jawa Tengah,A,4,2023,Aktif
286,A23080286,H. Endra Nasyiah,L,2003-09-06,36,SMA Negeri 16 Banten,B,8,2023,Aktif
287,A20090287,drg. Talia Permadi,L,2002-11-16,62,SMA Negeri 23 Kalimantan Tengah,C,9,2020,Lulus
288,A20050288,"Ozy Winarno, S.E.I",L,1997-10-13,51,SMA Negeri 47 Bali,TT,5,2020,Aktif
289,A19080289,"drg. Widya Suartini, S.H.",L,1998-10-28,62,SMA Negeri 37 Kalimantan Tengah,B,8,2019,Aktif
290,A18040290,Cut Padmi Mayasari,P,2004-02-28,21,SMA Negeri 38 Kepulauan Riau,B,4,2018,DO
291,A20120291,Rachel Mangunsong,L,2000-07-31,73,SMA Negeri 25 Sulawesi Selatan,A,12,2020,Aktif
292,A21100292,Ani Prasasta,L,1999-11-11,36,SMA Negeri 32 Banten,B,10,2021,Lulus
293,A21120293,Banara Pranowo,P,1998-05-24,82,SMA Negeri 11 Maluku Utara,A,12,2021,Lulus
294,A19030294,"Nabila Zulaika, S.IP",P,2007-03-30,82,SMA Negeri 5 Maluku Utara,A,3,2019,Aktif
295,A18110295,Nalar Hastuti,L,2000-11-24,14,SMA Negeri 15 Riau,C,11,2018,Lulus
296,A18020296,Tasdik Prastuti,P,2007-04-20,21,SMA Negeri 4 Kepulauan Riau,B,2,2018,Aktif
297,A23100297,Ir. Dewi Prayoga,L,2004-09-24,81,SMA Negeri 1 Maluku,TT,10,2023,Aktif
298,A18090298,Mustofa Kusumo,P,2008-02-16,73,SMA Negeri 35 Sulawesi Selatan,A,9,2018,Lulus
299,A22050299,Ir. Violet Susanti,L,2007-01-04,12,SMA Negeri 7 Sumatera Utara,C,5,2022,Aktif
300,A19020300,Taswir Rajasa,L,2003-06-11,94,SMA Negeri 17 Papua,B,2,2019,Lulus
301,A21060301,Citra Anggriawan,L,1999-06-08,52,SMA Negeri 30 Nusa Tenggara Barat,A,6,2021,Cuti
302,A23100302,Eva Wacana,L,2002-10-18,36,SMA Negeri 44 Banten,B,10,2023,Aktif
303,A18020303,Clara Lestari,L,1998-02-04,13,SMA Negeri 31 Sumatera Barat,C,2,2018,Aktif
304,A23010304,Sutan Damar Habibi,L,2006-02-19,11,SMA Negeri 32 Aceh,A,1,2023,Aktif
305,A22070305,Cici Firmansyah,P,2000-04-20,63,SMA Negeri 3 Kalimantan Selatan,A,7,2022,Aktif
306,A23040306,Cakrabuana Mandala,L,2005-08-05,34,SMA Negeri 3 DI Yogyakarta,TT,4,2023,Aktif
307,A22020307,Puti Kezia Mayasari,L,2003-10-13,52,SMA Negeri 21 Nusa Tenggara Barat,A,2,2022,Aktif
308,A22010308,Yuni Rajasa,P,1998-01-11,34,SMA Negeri 26 DI Yogyakarta,A,1,2022,Aktif
309,A19020309,Tirta Zulaika,P,1998-05-16,61,SMA Negeri 25 Kalimantan Barat,B,2,2019,Lulus
310,A21110310,Hartana Winarsih,P,2001-11-20,63,SMA Negeri 33 Kalimantan Selatan,A,11,2021,Lulus
311,A18120311,Michelle Hardiansyah,L,2004-03-13,64,SMA Negeri 5 Kalimantan Timur,A,12,2018,Aktif
312,A20060312,Omar Adriansyah,P,2004-09-13,72,SMA Negeri 29 Sulawesi Tengah,A,6,2020,Aktif
313,A20080313,T. Mulya Prasetyo,L,2007-11-13,35,SMA Negeri 38 Jawa Timur,C,8,2020,Aktif
314,A18110314,Yunita Lestari,L,2006-06-05,71,SMA Negeri 6 Sulawesi Utara,B,11,2018,Lulus
315,A21050315,"Mila Mustofa, S.E.",P,2007-01-18,21,SMA Negeri 24 Kepulauan Riau,A,5,2021,Aktif
316,A18020316,Maida Zulaika,L,2006-05-28,16,SMA Negeri 18 Sumatera Selatan,B,2,2018,Aktif
317,A18020317,Hari Pertiwi,L,2005-05-02,19,SMA Negeri 36 Kepulauan Bangka Belitung,A,2,2018,Aktif
318,A18090318,"Ir. Candra Wijayanti, S.Gz",L,2005-01-16,73,SMA Negeri 6 Sulawesi Selatan,A,9,2018,Aktif
319,A21100319,Kadir Simbolon,L,1999-05-30,62,SMA Negeri 50 Kalimantan Tengah,A,10,2021,Aktif
320,A22020320,Siska Mangunsong,P,2004-03-16,36,SMA Negeri 25 Banten,A,2,2022,Aktif
321,A20030321,Ana Rahimah,L,2005-10-06,19,SMA Negeri 5 Kepulauan Bangka Belitung,B,3,2020,Aktif
322,A20030322,Drs. Mala Hassanah,L,2005-11-27,74,SMA Negeri 5 Sulawesi Tenggara,C,3,2020,Aktif
323,A19060323,"Drs. Marsudi Suartini, S.H.",P,2007-09-13,51,SMA Negeri 30 Bali,TT,6,2019,Lulus
324,A20020324,Samsul Anggriawan,L,2001-06-08,19,SMA Negeri 40 Kepulauan Bangka Belitung,A,2,2020,Aktif
325,A21070325,Carub Saptono,L,2007-08-01,63,SMA Negeri 42 Kalimantan Selatan,B,7,2021,Lulus
326,A20100326,"KH. Empluk Mandala, M.Kom.",P,2005-06-23,19,SMA Negeri 13 Kepulauan Bangka Belitung,B,10,2020,DO
327,A19080327,Nurul Zulaika,L,2001-07-31,62,SMA Negeri 45 Kalimantan Tengah,C,8,2019,Aktif
328,A22110328,Lili Laksita,L,2001-01-01,82,SMA Negeri 25 Maluku Utara,B,11,2022,Aktif
329,A20050329,Ajimat Ramadan,P,2003-06-30,72,SMA Negeri 35 Sulawesi Tengah,A,5,2020,Aktif
330,A23030330,Karma Rajata,P,2007-07-08,12,SMA Negeri 14 Sumatera Utara,TT,3,2023,Aktif
331,A23080331,"Sutan Dadi Sinaga, M.Pd",L,1997-10-19,53,SMA Negeri 44 Nusa Tenggara Timur,A,8,2023,Aktif
332,A23080332,Hana Mandasari,L,2003-02-26,19,SMA Negeri 17 Kepulauan Bangka Belitung,B,8,2023,Aktif
333,A23110333,KH. Arta Sitompul,L,2004-05-05,21,SMA Negeri 5 Kepulauan Riau,C,11,2023,Aktif
334,A22080334,Darsirah Saputra,P,2002-09-26,81,SMA Negeri 33 Maluku,C,8,2022,Aktif
335,A22120335,Cemplunk Mustofa,L,1999-03-30,73,SMA Negeri 45 Sulawesi Selatan,A,12,2022,Aktif
336,A18090336,T. Raden Januar,P,2004-10-17,16,SMA Negeri 11 Sumatera Selatan,B,9,2018,Lulus
337,A22110337,Victoria Mahendra,L,2007-12-05,13,SMA Negeri 28 Sumatera Barat,C,11,2022,Aktif
338,A18020338,Victoria Agustina,L,2008-05-19,11,SMA Negeri 34 Aceh,B,2,2018,Lulus
339,A21090339,Putri Wahyudin,L,2000-09-03,35,SMA Negeri 44 Jawa Timur,B,9,2021,Aktif
340,A19100340,"Jaswadi Napitupulu, M.Pd",L,2005-01-04,91,SMA Negeri 19 Papua Barat,B,10,2019,Aktif
341,A18070341,Mahdi Utama,L,2004-07-08,16,SMA Negeri 30 Sumatera Selatan,A,7,2018,Aktif
342,A21040342,Janet Saefullah,L,2001-03-10,94,SMA Negeri 47 Papua,B,4,2021,Aktif
343,A20120343,Makuta Hidayat,L,2003-05-17,75,SMA Negeri 46 Gorontalo,A,12,2020,Aktif
344,A20020344,Galih Usamah,P,2000-03-09,12,SMA Negeri 48 Sumatera Utara,A,2,2020,Lulus
345,A19040345,"Jaya Namaga, S.Gz",L,1999-04-13,94,SMA Negeri 30 Papua,A,4,2019,Lulus
346,A23040346,Karimah Purnawati,L,2004-06-11,72,SMA Negeri 41 Sulawesi Tengah,A,4,2023,Aktif
347,A21110347,Ir. Jasmin Saputra,P,2008-03-23,74,SMA Negeri 13 Sulawesi Tenggara,A,11,2021,Lulus
348,A21080348,Anastasia Putra,P,2001-09-27,74,SMA Negeri 18 Sulawesi Tenggara,A,8,2021,Aktif
349,A22120349,Teguh Salahudin,P,2002-11-14,15,SMA Negeri 12 Jambi,A,12,2022,Aktif
350,A19060350,Humaira Saefullah,L,2007-11-14,62,SMA Negeri 32 Kalimantan Tengah,TT,6,2019,Aktif
351,A22090351,Anastasia Dongoran,P,2006-07-26,62,SMA Negeri 26 Kalimantan Tengah,C,9,2022,Aktif
352,A20100352,Salsabila Palastri,L,2006-10-25,18,SMA Negeri 44 Lampung,B,10,2020,Lulus
353,A22120353,Raina Padmasari,P,2004-12-04,61,SMA Negeri 9 Kalimantan Barat,A,12,2022,Aktif
354,A19060354,Tania Firgantoro,L,2003-01-25,18,SMA Negeri 45 Lampung,B,6,2019,Aktif
355,A21030355,Humaira Haryanti,P,2002-12-05,91,SMA Negeri 25 Papua Barat,C,3,2021,Aktif
356,A21070356,Margana Mustofa,P,2004-10-15,32,SMA Negeri 19 Jawa Barat,A,7,2021,Aktif
357,A20030357,Ivan Iswahyudi,P,2000-04-14,32,SMA Negeri 23 Jawa Barat,TT,3,2020,Aktif
358,A19010358,Halim Laksita,L,2001-05-13,82,SMA Negeri 33 Maluku Utara,B,1,2019,Cuti
359,A21110359,Arsipatra Hassanah,L,2000-08-25,82,SMA Negeri 29 Maluku Utara,TT,11,2021,Lulus
360,A18080360,"Nilam Pertiwi, S.T.",L,1999-11-28,31,SMA Negeri 18 DKI Jakarta,A,8,2018,Aktif
361,A19040361,Amalia Waskita,P,2005-10-27,53,SMA Negeri 50 Nusa Tenggara Timur,TT,4,2019,Lulus
362,A18080362,"dr. Salimah Nuraini, S.Farm",L,2001-07-07,91,SMA Negeri 24 Papua Barat,A,8,2018,Lulus
363,A23090363,Humaira Prakasa,P,2005-03-11,13,SMA Negeri 14 Sumatera Barat,TT,9,2023,Aktif
364,A23070364,H. Kacung Yuniar,L,2006-07-01,17,SMA Negeri 3 Bengkulu,B,7,2023,Aktif
365,A20080365,Hj. Yunita Winarno,L,2001-10-30,51,SMA Negeri 8 Bali,A,8,2020,Lulus
366,A23040366,Ratna Adriansyah,P,2000-09-22,34,SMA Negeri 40 DI Yogyakarta,B,4,2023,Aktif
367,A19110367,Ophelia Pratama,L,2002-08-14,74,SMA Negeri 4 Sulawesi Tenggara,A,11,2019,Lulus
368,A22100368,Lala Andriani,P,2001-02-04,64,SMA Negeri 35 Kalimantan Timur,B,10,2022,Aktif
369,A23030369,Citra Lailasari,L,2003-10-23,62,SMA Negeri 37 Kalimantan Tengah,B,3,2023,Aktif
370,A23050370,"H. Galuh Pratiwi, S.I.Kom",L,2007-02-04,91,SMA Negeri 49 Papua Barat,A,5,2023,Aktif
371,A20070371,Vicky Namaga,P,2001-10-02,14,SMA Negeri 16 Riau,A,7,2020,Lulus
372,A19030372,"Ikhsan Damanik, S.IP",L,1998-02-26,62,SMA Negeri 41 Kalimantan Tengah,C,3,2019,Aktif
373,A21050373,Prabu Hidayat,L,2006-10-07,73,SMA Negeri 50 Sulawesi Selatan,TT,5,2021,Lulus
374,A22020374,Eko Maryadi,P,1997-06-05,72,SMA Negeri 24 Sulawesi Tengah,B,2,2022,Aktif
375,A20080375,Estiawan Usamah,P,2005-03-12,82,SMA Negeri 30 Maluku Utara,A,8,2020,Aktif
376,A18110376,"Omar Rajata, S.Ked",L,2006-08-21,64,SMA Negeri 14 Kalimantan Timur,C,11,2018,Cuti
377,A20080377,Suci Mulyani,L,2003-11-09,52,SMA Negeri 9 Nusa Tenggara Barat,B,8,2020,Lulus
378,A20100378,Azalea Waluyo,L,1999-01-25,82,SMA Negeri 30 Maluku Utara,A,10,2020,Aktif
379,A19010379,"Dr. Cayadi Jailani, S.E.",L,2004-07-04,18,SMA Negeri 28 Lampung,TT,1,2019,Aktif
380,A23040380,Drs. Ikhsan Hutagalung,L,1998-05-19,19,SMA Negeri 18 Kepulauan Bangka Belitung,B,4,2023,Aktif
381,A20020381,"Damu Hutagalung, S.IP",L,2001-03-06,65,SMA Negeri 42 Kalimantan Utara,A,2,2020,Lulus
382,A21030382,Tami Lestari,P,2004-05-04,14,SMA Negeri 15 Riau,B,3,2021,Lulus
383,A23070383,Bakianto Nainggolan,L,1997-07-11,16,SMA Negeri 14 Sumatera Selatan,A,7,2023,Aktif
384,A19080384,Tgk. Bahuraksa Mandasari,P,2002-01-24,15,SMA Negeri 1 Jambi,B,8,2019,Lulus
385,A18010385,Kiandra Siregar,P,2002-08-29,63,SMA Negeri 5 Kalimantan Selatan,C,1,2018,Aktif
386,A18040386,"Ir. Emil Sitompul, S.IP",L,2000-08-01,71,SMA Negeri 20 Sulawesi Utara,A,4,2018,Aktif
387,A19030387,Ika Hutasoit,L,2007-11-29,71,SMA Negeri 1 Sulawesi Utara,A,3,2019,Lulus
388,A21100388,"dr. Putu Pradipta, S.H.",P,2003-02-04,31,SMA Negeri 48 DKI Jakarta,B,10,2021,Aktif
389,A22030389,"Candra Rahayu, S.Kom",L,2006-12-21,73,SMA Negeri 6 Sulawesi Selatan,TT,3,2022,Aktif
390,A18020390,Lantar Kuswandari,L,1999-01-27,19,SMA Negeri 21 Kepulauan Bangka Belitung,C,2,2018,Cuti
391,A20030391,Irnanto Maheswara,L,2000-06-22,36,SMA Negeri 39 Banten,A,3,2020,Lulus
392,A23120392,Bakijan Kusumo,P,1999-12-12,53,SMA Negeri 20 Nusa Tenggara Timur,A,12,2023,Aktif
393,A22040393,Eja Halim,P,2005-04-15,94,SMA Negeri 26 Papua,B,4,2022,Aktif
394,A19050394,H. Heru Wibowo,L,2005-07-19,14,SMA Negeri 32 Riau,TT,5,2019,Aktif
395,A22110395,"Teddy Anggraini, S.Gz",L,1999-09-02,15,SMA Negeri 21 Jambi,A,11,2022,Aktif
396,A22030396,R.M. Drajat Wahyuni,L,2005-03-28,71,SMA Negeri 35 Sulawesi Utara,C,3,2022,Aktif
397,A21110397,Hasna Januar,L,1997-08-04,32,SMA Negeri 1 Jawa Barat,A,11,2021,Lulus
398,A18050398,"KH. Indra Tarihoran, S.Farm",L,1998-10-07,34,SMA Negeri 41 DI Yogyakarta,A,5,2018,Lulus
399,A21120399,Darmana Pratama,P,2003-11-27,91,SMA Negeri 41 Papua Barat,C,12,2021,Aktif
400,A20090400,Siska Wahyuni,L,1998-10-31,21,SMA Negeri 14 Kepulauan Riau,A,9,2020,Aktif
401,A21030401,Natalia Rahimah,L,2005-12-08,62,SMA Negeri 47 Kalimantan Tengah,A,3,2021,Lulus
402,A19040402,Bakiman Yulianti,L,2001-11-22,14,SMA Negeri 40 Riau,A,4,2019,Aktif
403,A20100403,Vanya Gunawan,L,2001-09-23,14,SMA Negeri 9 Riau,A,10,2020,Aktif
404,A19120404,"Gara Prasetya, S.Farm",L,1999-11-10,11,SMA Negeri 47 Aceh,TT,12,2019,Lulus
405,A20050405,Tgk. Simon Saefullah,P,1998-02-09,31,SMA Negeri 18 DKI Jakarta,A,5,2020,Lulus
406,A18120406,"Ir. Suci Safitri, M.Pd",L,2002-07-19,18,SMA Negeri 5 Lampung,B,12,2018,Aktif
407,A21050407,Luhung Sudiati,P,2001-10-08,15,SMA Negeri 32 Jambi,TT,5,2021,Aktif
408,A20100408,"Hani Wijaya, S.T.",L,2002-04-11,31,SMA Negeri 37 DKI Jakarta,A,10,2020,Lulus
409,A19110409,drg. Mitra Astuti,L,1999-03-25,18,SMA Negeri 1 Lampung,A,11,2019,Lulus
410,A21040410,Tgk. Iriana Waluyo,L,1999-05-01,13,SMA Negeri 12 Sumatera Barat,B,4,2021,DO
411,A19010411,Ira Simanjuntak,L,2005-11-11,73,SMA Negeri 47 Sulawesi Selatan,B,1,2019,Aktif
412,A18060412,dr. Eva Hassanah,L,2006-04-29,52,SMA Negeri 4 Nusa Tenggara Barat,B,6,2018,Lulus
413,A22030413,"Rahmi Uwais, S.H.",L,1997-12-10,35,SMA Negeri 5 Jawa Timur,A,3,2022,Aktif
414,A20080414,Tgk. Putu Agustina,L,2006-03-15,53,SMA Negeri 1 Nusa Tenggara Timur,B,8,2020,Lulus
415,A20060415,Nalar Rajata,P,2005-07-31,33,SMA Negeri 30 Jawa Tengah,B,6,2020,Lulus
416,A19060416,"Agus Sirait, S.H.",L,1997-08-01,82,SMA Negeri 27 Maluku Utara,B,6,2019,Aktif
417,A22010417,"Drs. Cawisono Wacana, M.Ak",P,2003-03-15,35,SMA Negeri 45 Jawa Timur,B,1,2022,Aktif
418,A18010418,Sutan Bakda Salahudin,P,2001-04-02,63,SMA Negeri 7 Kalimantan Selatan,C,1,2018,Lulus
419,A19040419,Emong Lazuardi,L,1998-11-14,94,SMA Negeri 10 Papua,C,4,2019,Cuti
420,A18120420,Hamzah Saptono,L,2000-08-06,52,SMA Negeri 34 Nusa Tenggara Barat,A,12,2018,Lulus
421,A21070421,Putri Sitorus,P,2000-07-17,65,SMA Negeri 9 Kalimantan Utara,A,7,2021,Aktif
422,A18110422,Maryanto Tampubolon,L,2002-08-14,72,SMA Negeri 9 Sulawesi Tengah,A,11,2018,Lulus
423,A20040423,Sabar Mayasari,L,2007-09-05,53,SMA Negeri 48 Nusa Tenggara Timur,B,4,2020,Lulus
424,A21060424,Warsita Kuswandari,L,2007-07-27,62,SMA Negeri 13 Kalimantan Tengah,B,6,2021,Aktif
425,A19030425,Karimah Prakasa,L,2006-07-30,17,SMA Negeri 21 Bengkulu,A,3,2019,Aktif
426,A22070426,"Wisnu Zulkarnain, S.Ked",L,2006-10-29,18,SMA Negeri 29 Lampung,B,7,2022,Aktif
427,A20050427,Clara Usamah,L,2001-05-09,76,SMA Negeri 44 Sulawesi Barat,A,5,2020,Aktif
428,A19050428,"Jagapati Rajata, M.Ak",L,2008-01-25,13,SMA Negeri 16 Sumatera Barat,B,5,2019,Aktif
429,A22060429,Shakila Hakim,P,1999-07-17,72,SMA Negeri 20 Sulawesi Tengah,A,6,2022,Aktif
430,A18050430,Yance Rahmawati,L,2005-10-01,32,SMA Negeri 36 Jawa Barat,C,5,2018,Lulus
431,A21040431,Gandewa Riyanti,L,2006-02-03,17,SMA Negeri 4 Bengkulu,A,4,2021,Aktif
432,A19040432,"Drs. Eli Prakasa, S.Kom",L,2003-04-11,19,SMA Negeri 42 Kepulauan Bangka Belitung,C,4,2019,Lulus
433,A18020433,"Ir. Nadia Hartati, M.Ak",L,1999-02-09,51,SMA Negeri 42 Bali,A,2,2018,Aktif
434,A18080434,Cahyanto Saragih,L,2003-10-29,19,SMA Negeri 30 Kepulauan Bangka Belitung,B,8,2018,Aktif
435,A22010435,"Sutan Bala Tarihoran, S.Pd",P,2000-11-15,31,SMA Negeri 26 DKI Jakarta,C,1,2022,Aktif
436,A21080436,Kairav Haryanto,L,1997-09-11,12,SMA Negeri 12 Sumatera Utara,C,8,2021,Aktif
437,A21050437,Cagak Damanik,L,1998-01-26,52,SMA Negeri 40 Nusa Tenggara Barat,A,5,2021,Lulus
438,A21040438,Salsabila Saefullah,P,2000-10-24,53,SMA Negeri 6 Nusa Tenggara Timur,C,4,2021,Aktif
439,A19050439,Eva Prastuti,L,1999-12-04,71,SMA Negeri 34 Sulawesi Utara,C,5,2019,Lulus
440,A21040440,"Sarah Rajasa, S.E.I",L,2005-03-22,12,SMA Negeri 32 Sumatera Utara,B,4,2021,Lulus
441,A20060441,"Ir. Atmaja Pranowo, M.Kom.",L,2000-09-09,91,SMA Negeri 21 Papua Barat,C,6,2020,Aktif
442,A18100442,Laksana Permata,L,2007-08-05,35,SMA Negeri 31 Jawa Timur,B,10,2018,Lulus
443,A22090443,Hani Maheswara,L,1999-10-08,64,SMA Negeri 7 Kalimantan Timur,B,9,2022,Aktif
444,A20040444,Putri Andriani,L,2001-01-22,36,SMA Negeri 25 Banten,A,4,2020,Lulus
445,A19060445,R.M. Balangga Jailani,P,1999-04-04,32,SMA Negeri 48 Jawa Barat,B,6,2019,Aktif
446,A22120446,Tgk. Azalea Palastri,P,2006-03-31,64,SMA Negeri 45 Kalimantan Timur,A,12,2022,Aktif
447,A22060447,Anastasia Samosir,L,2003-03-25,21,SMA Negeri 35 Kepulauan Riau,B,6,2022,Aktif
448,A21050448,Nabila Prastuti,L,2002-08-02,32,SMA Negeri 39 Jawa Barat,A,5,2021,Aktif
449,A22040449,"Hj. Rahayu Rajasa, S.Ked",L,2002-06-02,12,SMA Negeri 22 Sumatera Utara,TT,4,2022,Aktif
450,A19100450,Rahayu Saptono,P,2006-07-07,33,SMA Negeri 21 Jawa Tengah,B,10,2019,Aktif
451,A19010451,"Drs. Prabawa Damanik, S.Pt",L,2004-03-08,12,SMA Negeri 24 Sumatera Utara,A,1,2019,Lulus
452,A23020452,R.M. Danang Wasita,P,2000-08-13,65,SMA Negeri 7 Kalimantan Utara,C,2,2023,Aktif
